source_file,scheme,metric,households,simulations,cache_mode,total_us,avg_us,count,cipher_bytes
ckks_h50_s1000_cold.log,CKKS,B_add_delta_remaining,50,1000,cold,3307972,39.771,83175,394865
ckks_h50_s1000_cold.log,CKKS,B_total_aggregation,50,1000,cold,5450022,5450.022,1000,394865
ckks_h50_s1000_cold.log,CKKS,C_decrypt_X,50,1000,cold,871269,871.269,1000,0
ckks_h50_s1000_cold.log,CKKS,C_decrypt_delta,50,1000,cold,3692241,860.462,4291,0
ckks_h50_s1000_cold.log,CKKS,C_control_logic_until_convergence,50,1000,cold,2568,0.598,4291,0
ckks_h50_s1000_cold.log,CKKS,C_total_decrypt_plus_control,50,1000,cold,4566078,4566.078,1000,0
ckks_h50_s1000_cold.log,CKKS,SIM_total_measured_H_B_C,50,1000,cold,436042685,436042.685,1000,394865
ckks_h50_s1000_cold.log,SUMMARY,total_iterations,50,1000,cold,4291,4.291,1000,0
ckks_h50_s1000_cold.log,SUMMARY,accepted_delta_count,50,1000,cold,87466,87.466,1000,0
plain_h1000_s1000_cold.log,PLAIN,H_initial_device_planning,1000,1000,cold,11208030,11.208,1000000,0
plain_h1000_s1000_cold.log,PLAIN,H_encrypt_X_i,1000,1000,cold,0,0.000,0,0
plain_h1000_s1000_cold.log,PLAIN,H_plan_compute,1000,1000,cold,49237382,17.950,2743000,0
plain_h1000_s1000_cold.log,PLAIN,H_accept_compute,1000,1000,cold,106024,0.064,1665689,0
plain_h1000_s1000_cold.log,PLAIN,H_encrypt_delta_i,1000,1000,cold,0,0.000,0,0
plain_h1000_s1000_cold.log,PLAIN,H_total_household_side,1000,1000,cold,60551436,60551.436,1000,0
plain_h1000_s1000_cold.log,PLAIN,B_init_X_from_first_ciphertext,1000,1000,cold,95,0.095,1000,0
plain_h1000_s1000_cold.log,PLAIN,B_add_X_remaining,1000,1000,cold,159441,0.160,999000,0
plain_h1000_s1000_cold.log,PLAIN,B_init_delta_from_first_ciphertext,1000,1000,cold,5,0.002,2727,0
plain_h1000_s1000_cold.log,PLAIN,B_add_delta_remaining,1000,1000,cold,205066,0.123,1662962,0
plain_h1000_s1000_cold.log,PLAIN,B_total_aggregation,1000,1000,cold,364607,364.607,1000,0
plain_h1000_s1000_cold.log,PLAIN,C_decrypt_X,1000,1000,cold,0,0.000,0,0
plain_h1000_s1000_cold.log,PLAIN,C_decrypt_delta,1000,1000,cold,0,0.000,0,0
plain_h1000_s1000_cold.log,PLAIN,C_control_logic_until_convergence,1000,1000,cold,64167,23.393,2743,0
plain_h1000_s1000_cold.log,PLAIN,C_total_decrypt_plus_control,1000,1000,cold,64167,64.167,1000,0
plain_h1000_s1000_cold.log,PLAIN,SIM_total_measured_H_B_C,1000,1000,cold,60980210,60980.210,1000,0
plain_h1000_s1000_cold.log,SUMMARY,total_iterations,1000,1000,cold,2743,2.743,1000,0
plain_h1000_s1000_cold.log,SUMMARY,accepted_delta_count,1000,1000,cold,1665689,1665.689,1000,0
plain_h100_s1000_cold.log,PLAIN,H_initial_device_planning,100,1000,cold,1099896,10.999,100000,0
plain_h100_s1000_cold.log,PLAIN,H_encrypt_X_i,100,1000,cold,0,0.000,0,0
plain_h100_s1000_cold.log,PLAIN,H_plan_compute,100,1000,cold,5825040,16.782,347100,0
plain_h100_s1000_cold.log,PLAIN,H_accept_compute,100,1000,cold,1521,0.009,164960,0
plain_h100_s1000_cold.log,PLAIN,H_encrypt_delta_i,100,1000,cold,0,0.000,0,0
plain_h100_s1000_cold.log,PLAIN,H_total_household_side,100,1000,cold,6926457,6926.457,1000,0
plain_h100_s1000_cold.log,PLAIN,B_init_X_from_first_ciphertext,100,1000,cold,4,0.004,1000,0
plain_h100_s1000_cold.log,PLAIN,B_add_X_remaining,100,1000,cold,6037,0.061,99000,0
plain_h100_s1000_cold.log,PLAIN,B_init_delta_from_first_ciphertext,100,1000,cold,1,0.000,3358,0
plain_h100_s1000_cold.log,PLAIN,B_add_delta_remaining,100,1000,cold,5405,0.033,161602,0
plain_h100_s1000_cold.log,PLAIN,B_total_aggregation,100,1000,cold,11447,11.447,1000,0
plain_h100_s1000_cold.log,PLAIN,C_decrypt_X,100,1000,cold,0,0.000,0,0
plain_h100_s1000_cold.log,PLAIN,C_decrypt_delta,100,1000,cold,0,0.000,0,0
plain_h100_s1000_cold.log,PLAIN,C_control_logic_until_convergence,100,1000,cold,3657,1.054,3471,0
plain_h100_s1000_cold.log,PLAIN,C_total_decrypt_plus_control,100,1000,cold,3657,3.657,1000,0
plain_h100_s1000_cold.log,PLAIN,SIM_total_measured_H_B_C,100,1000,cold,6941561,6941.561,1000,0
plain_h100_s1000_cold.log,SUMMARY,total_iterations,100,1000,cold,3471,3.471,1000,0
plain_h100_s1000_cold.log,SUMMARY,accepted_delta_count,100,1000,cold,164960,164.960,1000,0
plain_h10_s1000_cold.log,PLAIN,H_initial_device_planning,10,1000,cold,133422,13.342,10000,0
